grid_id,lat,lon,anomaly_type,scenario,residual,canopy_pct,impervious_pct,minority_pct
BK-197,39.9611,-75.20796,hot,west_philly_reinvest,5.65,14.2,8.3,78.2
BX-215,39.9449,-75.19273,hot,west_philly_reinvest,5.22,14.1,37.0,50.3
BG-226,39.93498,-75.21261,hot,west_philly_reinvest,4.2,28.4,37.6,100.0
BI-149,40.00433,-75.21036,hot,west_philly_reinvest,4.09,20.4,17.5,77.7
BM-212,39.9476,-75.20561,hot,west_philly_reinvest,4.05,36.2,30.2,50.3
BC-199,39.95929,-75.21732,hot,west_philly_reinvest,3.94,30.5,46.4,96.5
AW-179,39.9773,-75.22437,hot,west_philly_reinvest,3.6,9.5,58.2,98.2
BF-197,39.9611,-75.21382,hot,west_philly_reinvest,3.51,28.6,50.5,96.3
BR-214,39.9458,-75.19975,hot,west_philly_reinvest,3.37,32.5,32.6,50.3
BW-207,39.95211,-75.19391,hot,west_philly_reinvest,3.37,46.0,43.4,45.7
FN-171,39.98455,-75.08272,cool,kensington_industrial,-6.82,18.1,24.7,26.0
FH-153,40.00076,-75.08974,cool,kensington_industrial,-6.71,0.0,85.3,51.3
FS-168,39.98725,-75.07687,cool,kensington_industrial,-5.66,13.1,37.2,26.0
FL-173,39.98275,-75.08506,cool,kensington_industrial,-5.19,0.0,89.9,26.0
FQ-169,39.98635,-75.07921,cool,kensington_industrial,-4.62,18.4,47.4,26.0
ER-181,39.97555,-75.10848,cool,kensington_industrial,-4.54,11.8,23.2,26.0
FP-165,39.98995,-75.08038,cool,kensington_industrial,-4.1,5.3,81.5,26.0
FT-171,39.98455,-75.0757,cool,kensington_industrial,-4.03,0.0,87.9,26.0
FW-157,39.99715,-75.07218,cool,kensington_industrial,-3.96,0.0,84.6,13.8
FJ-169,39.98635,-75.0874,cool,kensington_industrial,-3.64,0.0,86.5,26.0
DS-178,39.97825,-75.13775,cool,kensington_industrial,-3.5,0.0,86.2,54.1
FX-146,40.00706,-75.071,cool,kensington_industrial,-3.46,0.0,84.4,15.1
GU-103,40.04577,-75.04402,cool,ne_philly_rooftop,-7.65,8.5,80.5,59.6
HY-109,40.04034,-75.00887,cool,ne_philly_rooftop,-5.61,1.5,84.6,69.6
BB-104,40.04485,-75.21862,cool,ne_philly_rooftop,-4.98,7.8,62.1,29.0
FZ-72,40.0737,-75.06861,cool,ne_philly_rooftop,-4.88,22.5,50.9,41.0
CA-107,40.04217,-75.18932,cool,ne_philly_rooftop,-4.83,25.8,57.2,51.7
GT-75,40.07099,-75.04516,cool,ne_philly_rooftop,-4.7,7.0,56.3,62.4
BZ-98,40.05028,-75.1905,cool,ne_philly_rooftop,-4.35,16.6,59.4,68.3
IB-103,40.04574,-75.00535,cool,ne_philly_rooftop,-4.32,3.2,83.3,69.6
